3825-Bu;Bu;#4676BB;2017.44383561644;#004C42
B790-Al;Al;#4676BB;2017.6;#004C42
1000-Al;Al;#4676BB;2016.62295081967;#005046
1573-Al;Al;#4676BB;2016.63114754098;#005046
1707-Al;Al;#4676BB;2016.89890710383;#005046
4192-Al;Al;#4676BB;2016.95081967213;#005046
4770-Al;Al;#4676BB;2015.62739726027;#00554B
9023-Gr;Gr;#4676BB;2016.53278688525;#005046
C314-Gr;Gr;#4676BB;2016.64754098361;#005046
6-16-Gr;Gr;#4676BB;2016.84972677596;#005046
C478-Gr;Gr;#4676BB;2016.89890710383;#005046
498A-Gr;Gr;#4676BB;2015.88493150685;#00554B
C715-Gr;Gr;#4676BB;2016.2868852459;#005046
5000-Ma;Ma;#4676BB;2016.36885245902;#005046
5011-Ma;Ma;#4676BB;2016.43169398907;#005046
4592-Se;Se;#4676BB;2016.54644808743;#005046
5778-Se;Se;#4676BB;2016.55464480874;#005046
6040-Se;Se;#4676BB;2016.72950819672;#005046
7695-Se;Se;#4676BB;2016.57650273224;#005046
2618-Ka;Ka;#BF812D;2016.45355191257;#005046
2592-Ka;Ka;#BF812D;2016.51366120219;#005046
5838-Tu;Tu;#D1E5F0;2012.96448087432;#005D54
3760-Ru;Ru;#BF812D;2018.70410958904;#00483D
4508-Is;Is;#DE4327;2014.61369863014;#005950
2411-Th;Th;#666666;2015.5;#00554B
0217-Ru;Ru;#BF812D;2020.5;#004439
8001-Ni;Ni;#FAA521;2019.5;#004439
9032-Ru;Ru;#BF812D;2020.5;#004439
8129-Ba;Ba;#666666;2020.5;#004439
8128-Ba;Ba;#666666;2019.5;#004439
7402-In;In;#666666;2021.72054794521;#003C30
8345-Ch;Ch;#666666;2019.5;#004439
3705-Th;Th;#666666;2018.36712328767;#00483D
0507-In;In;#666666;2015.5;#00554B
6408-Ch;Ch;#666666;2016.75409836066;#005046
4485-Ch;Ch;#666666;2020.5;#004439
3603-Ru;Ru;#BF812D;2021.5;#004034
3602-Ru;Ru;#BF812D;2021.5;#004034
2833-Ru;Ru;#BF812D;2019.5;#004439
7950-Na;Na;#FAA521;2019.58082191781;#004439
2492-In;In;#666666;2021.3095890411;#004034
2713-Ta;Ta;#666666;2020.82240437158;#004034
2649-Ho;Ho;#666666;2020.82786885246;#004034
4042-Ru;Ru;#BF812D;2020.87704918033;#004034
6674-Ru;Ru;#BF812D;2020.90983606557;#004034
7076-Vi;Vi;#666666;2020.91530054645;#004034
7075-Vi;Vi;#666666;2020.53551912568;#004439
7074-Vi;Vi;#666666;2019.16712328767;#00483D
7073-Vi;Vi;#666666;1905.51780821918;#543005
5944-Ch;Ch;#666666;2020.62568306011;#004034
6253-So;So;#FAA521;2019.99726027397;#004439
6252-So;So;#FAA521;2018.5;#00483D
6843-So;So;#FAA521;1954.5;#F5EACC
6842-So;So;#FAA521;1997.5;#3C9C94
6841-So;So;#FAA521;1993.5;#5AB2A8
6840-So;So;#FAA521;1993.5;#5AB2A8
6839-So;So;#FAA521;1993.5;#5AB2A8
6838-So;So;#FAA521;1991.5;#69BCB2
2619-Ke;Ke;#FAA521;1993.5;#5AB2A8
1838-So;So;#FAA521;1958.5;#F5EEDC
2412-Cr;Cr;#4676BB;2011.5;#006159
4643-So;So;#FAA521;2016.5;#005046
4645-So;So;#FAA521;1999.5;#35978F
3219-Ke;Ke;#FAA521;NA;NA
5528-Ke;Ke;#FAA521;1974.5;#CBEBE6
9138-So;So;#FAA521;1958.5;#F5EEDC
9137-So;So;#FAA521;1959.5;#F5EFE1
6402-Se;Se;#4676BB;1999.5;#35978F
5589-Ch;Ch;#666666;2019.60273972603;#004439
3092-Ch;Ch;#666666;2020.7868852459;#004034
3091-Ch;Ch;#666666;2020.45355191257;#004439
